26325	26325	26325	0.42639	0.422758	0.392306	  276.3038	  277.2605	  278.0143	  279.8595	1.48225e-08	  100	2.875
26326	26326	26326	0.42631	0.422697	0.392691	  276.4186	  277.2679	  278.0006	  279.8587	1.48225e-08	  100	2.91667
26327	26327	26327	0.425405	0.422586	0.393067	  276.4827	  277.2792	  277.9891	  279.8578	1.48225e-08	  100	2.95833
26328	26328	26328	0.424389	0.422194	0.393428	  276.3987	  277.2604	  277.9778	  279.8569	1.48225e-08	  100	3
26329	26329	26329	0.423779	0.421744	0.393764	  276.2911	  277.2264	  277.9653	  279.8558	1.48225e-08	  100	3.04167
26330	26330	26330	0.422944	0.421292	0.394077	  276.085	  277.1641	  277.9503	  279.8547	1.48225e-08	  100	3.08333
26331	26331	26331	0.42201	0.420779	0.394367	  275.827	  277.0717	  277.9302	  279.8534	1.48225e-08	  100	3.125
26332	26332	26332	0.421276	0.420258	0.394633	  275.5774	  276.9669	  277.9046	  279.852	1.48225e-08	  100	3.16667
26333	26333	26333	0.420241	0.419735	0.394879	  275.2607	  276.8392	  277.8727	  279.8503	1.48225e-08	  100	3.20833
26334	26334	26334	0.419068	0.419164	0.395105	  275.0251	  276.7141	  277.8344	  279.8484	1.48225e-08	  100	3.25
26335	26335	26335	0.4181	0.418588	0.395312	  274.827	  276.5953	  277.791	  279.8462	1.48225e-08	  100	3.29167
26336	26336	26336	0.417142	0.418024	0.395501	  275.9572	  276.8004	  277.755	  279.8438	1.48225e-08	  100	3.33333
26337	26337	26337	0.41618	0.41746	0.395672	  276.3512	  277.024	  277.7441	  279.8412	1.48225e-08	  100	3.375
26338	26338	26338	0.415303	0.416898	0.395825	  276.6494	  277.2081	  277.748	  279.8387	1.48225e-08	  100	3.41667
26339	26339	26339	0.414437	0.416338	0.395963	  277.1402	  277.4387	  277.7662	  279.8363	1.48225e-08	  100	3.45833
26340	26340	26340	0.413574	0.415773	0.396083	  277.5073	  277.6641	  277.8002	  279.8341	1.48225e-08	  100	3.5
26341	26341	26341	0.412761	0.415212	0.396189	  277.7967	  277.8598	  277.8456	  279.8322	1.48225e-08	  100	3.54167
26342	26342	26342	0.412002	0.414684	0.396288	  275.9828	  277.5181	  277.8805	  279.8306	1.48225e-08	  100	3.58333
26343	26343	26343	0.411312	0.414196	0.396385	  274.3512	  276.8713	  277.8606	  279.8289	1.48225e-08	  100	3.625
26344	26344	26344	0.410677	0.413723	0.396472	  273.4951	  276.3581	  277.8035	  279.8269	1.48225e-08	  100	3.66667
26345	26345	26345	0.410078	0.413263	0.396552	  272.8062	  275.9066	  277.7182	  279.8244	1.48225e-08	  100	3.70833
26346	26346	26346	0.409509	0.412816	0.396625	  272.2348	  275.508	  277.6109	  279.8212	1.48225e-08	  100	3.75
26347	26347	26347	0.408973	0.412382	0.39669	  271.7698	  275.1609	  277.4877	  279.8172	1.48225e-08	  100	3.79167
26348	26348	26348	0.40846	0.41196	0.396749	  271.3457	  274.8431	  277.3524	  279.8123	1.48225e-08	  100	3.83333
26349	26349	26349	0.407967	0.411549	0.396802	  271.0819	  274.5805	  277.2097	  279.8065	1.48225e-08	  100	3.875
26350	26350	26350	0.407497	0.41115	0.396849	  270.9122	  274.3649	  277.0638	  279.7997	1.48225e-08	  100	3.91667
26351	26351	26351	0.407047	0.410761	0.396891	  270.5034	  274.1228	  276.9156	  279.792	1.48225e-08	  100	3.95833
26352	26352	26352	0.406615	0.410383	0.396928	  270.02	  273.9699	  276.7667	  279.7834	1.48225e-08	  100	4
26353	26353	26353	0.406198	0.410015	0.39696	  269.8446	  273.8932	  276.6255	  279.7738	1.48225e-08	  100	4.04167
26354	26354	26354	0.405789	0.409656	0.396988	  269.2708	  273.808	  276.4918	  279.7633	1.48225e-08	  100	4.08333
26355	26355	26355	0.405387	0.409305	0.397012	  268.8331	  273.7207	  276.3636	  279.7521	1.48225e-08	  100	4.125
26356	26356	26356	0.404999	0.408963	0.397032	  268.6609	  273.6451	  276.2416	  279.7401	1.48225e-08	  100	4.16667
26357	26357	26357	0.404605	0.408628	0.397048	  268.559	  273.5771	  276.1258	  279.7274	1.48225e-08	  100	4.20833
26358	26358	26358	0.404208	0.4083	0.39706	  268.4918	  273.5151	  276.0161	  279.7141	1.48225e-08	  100	4.25
26359	26359	26359	0.403825	0.407977	0.39707	  268.4326	  273.4567	  275.912	  279.7001	1.48225e-08	  100	4.29167
26360	26360	26360	0.403445	0.407656	0.397075	  279.0688	  273.6456	  275.8225	  279.6856	1.48225e-08	  100	4.33333
26361	26361	26361	0.402906	0.40727	0.39706	  276.9368	  273.8065	  275.7571	  279.6708	1.48225e-08	  100	4.375
26362	26362	26362	0.402336	0.406864	0.397037	  277.9162	  274.145	  275.7182	  279.6558	1.48225e-08	  100	4.41667
26363	26363	26363	0.401748	0.406442	0.397006	  278.6667	  275.438	  275.7616	  279.641	1.48225e-08	  100	4.45833
